question_id,difficulty_numeric,dominant_category,consistency
10,1,semantic,1.0
54,1,semantic,1.0
82,1,semantic,1.0
84,1,syntactic,1.0
86,1,semantic,1.0
88,1,semantic,1.0
200,1,semantic,1.0
223,1,semantic,1.0
225,1,semantic,1.0
299,1,semantic,1.0
311,1,semantic,1.0
323,1,semantic,1.0
389,1,semantic,1.0
393,1,semantic,1.0
428,1,semantic,1.0
430,1,semantic,1.0
442,1,semantic,1.0
464,1,semantic,1.0
476,1,semantic,1.0
496,1,semantic,1.0
502,1,semantic,1.0
546,1,semantic,1.0
564,1,semantic,1.0
599,1,semantic,1.0
614,1,semantic,1.0
679,1,semantic,1.0
902,1,semantic,1.0
929,1,semantic,1.0
950,1,semantic,1.0
953,1,semantic,1.0
998,1,semantic,1.0
1004,1,hallucination,0.98
1045,1,semantic,1.0
1131,1,hallucination,1.0
1197,1,semantic,1.0
1221,1,semantic,0.98
1314,1,hallucination,0.98
1363,1,semantic,1.0
1505,1,semantic,1.0
1517,1,semantic,1.0
1522,1,semantic,1.0
1536,1,other,1.0
1575,1,semantic,1.0
1585,1,semantic,1.0
1619,1,semantic,1.0
1665,1,semantic,1.0
1673,1,semantic,1.0
1713,1,semantic,1.0
31,2,semantic,1.0
40,2,semantic,1.0
81,2,semantic,1.0
93,2,semantic,1.0
135,2,semantic,1.0
185,2,semantic,1.0
298,2,semantic,1.0
360,2,semantic,1.0
391,2,semantic,1.0
402,2,hallucination,1.0
407,2,semantic,1.0
408,2,semantic,1.0
446,2,semantic,1.0
466,2,semantic,1.0
511,2,semantic,1.0
522,2,semantic,1.0
637,2,semantic,1.0
683,2,semantic,1.0
732,2,hallucination,1.0
766,2,semantic,1.0
814,2,semantic,1.0
894,2,semantic,1.0
943,2,semantic,1.0
958,2,semantic,1.0
970,2,semantic,1.0
1093,2,semantic,1.0
1121,2,syntactic,0.96
1127,2,semantic,1.0
1146,2,hallucination,1.0
1152,2,semantic,1.0
1158,2,semantic,0.98
1170,2,semantic,1.0
1182,2,hallucination,0.98
1200,2,semantic,0.98
1225,2,semantic,1.0
1252,2,semantic,1.0
1264,2,semantic,1.0
1274,2,hallucination,1.0
1316,2,semantic,1.0
1327,2,semantic,1.0
1388,2,semantic,1.0
1401,2,semantic,1.0
1439,2,hallucination,1.0
1440,2,semantic,1.0
1454,2,semantic,1.0
1474,2,semantic,1.0
1475,2,semantic,1.0
1501,2,semantic,1.0
1529,2,semantic,1.0
1548,2,semantic,1.0
1560,2,semantic,1.0
1602,2,hallucination,0.98
1684,2,semantic,1.0
1691,2,hallucination,1.0
28,3,semantic,1.0
87,3,hallucination,0.98
94,3,semantic,1.0
125,3,semantic,1.0
149,3,hallucination,0.96
169,3,semantic,1.0
173,3,semantic,1.0
198,3,semantic,1.0
231,3,semantic,1.0
247,3,hallucination,1.0
249,3,semantic,1.0
253,3,semantic,1.0
263,3,semantic,1.0
290,3,semantic,1.0
306,3,semantic,1.0
328,3,semantic,1.0
337,3,semantic,1.0
431,3,hallucination,1.0
477,3,semantic,1.0
521,3,semantic,1.0
523,3,syntactic,1.0
634,3,semantic,1.0
639,3,hallucination,0.98
743,3,semantic,1.0
744,3,semantic,1.0
772,3,semantic,1.0
829,3,semantic,1.0
896,3,semantic,1.0
994,3,semantic,1.0
1028,3,semantic,1.0
1041,3,semantic,1.0
1071,3,semantic,1.0
1115,3,semantic,1.0
1161,3,semantic,1.0
1168,3,other,0.98
1171,3,semantic,1.0
1202,3,semantic,1.0
1223,3,semantic,1.0
1232,3,semantic,0.94
1236,3,semantic,1.0
1239,3,semantic,1.0
1241,3,semantic,1.0
1242,3,semantic,1.0
1243,3,semantic,1.0
1247,3,semantic,1.0
1257,3,semantic,1.0
1270,3,semantic,1.0
1292,3,semantic,1.0
1302,3,semantic,1.0
1437,3,semantic,1.0
1448,3,hallucination,1.0
1457,3,semantic,0.98
1481,3,semantic,1.0
1549,3,semantic,1.0
1552,3,semantic,1.0
1686,3,semantic,1.0
