question_id,Qwen-3-Coder-30B,Qwen-3-235B,Qwen-3-Coder-480B
31,0,1,1
35,1,1,1
40,0,1,0
68,1,1,1
81,0,1,0
93,0,0,0
100,1,1,0
135,0,0,0
152,1,1,0
175,1,1,1
185,0,1,0
188,1,0,1
213,1,1,1
222,1,1,1
236,1,1,1
255,1,1,1
270,1,0,0
272,1,1,1
298,0,1,0
327,1,1,1
360,0,0,0
391,0,1,1
397,1,0,1
402,0,0,0
407,0,0,0
408,0,0,0
427,1,1,1
446,0,0,0
450,1,1,1
459,1,1,0
466,0,0,0
508,1,0,1
511,0,0,1
522,0,0,0
615,1,1,1
637,0,0,0
657,1,1,1
683,0,0,0
723,1,1,1
732,0,1,0
753,1,1,1
761,1,1,1
766,0,0,0
814,0,0,1
822,1,1,1
894,0,0,0
899,1,1,1
906,1,1,1
943,0,1,0
958,0,0,0
970,0,0,0
1047,1,1,1
1093,0,0,0
1095,1,1,1
1098,1,1,1
1101,1,1,1
1103,1,1,1
1104,1,1,1
1106,1,1,1
1112,1,1,1
1121,0,0,0
1125,1,1,1
1127,0,0,0
1146,0,1,1
1152,0,0,0
1158,1,1,0
1162,1,1,1
1164,1,1,1
1167,1,0,0
1170,0,0,0
1182,1,1,1
1200,1,1,0
1225,0,0,0
1229,1,1,1
1240,1,1,1
1252,0,1,0
1264,0,0,1
1274,0,0,0
1289,1,1,0
1291,1,0,0
1316,0,1,1
1327,0,1,1
1375,1,1,1
1388,0,0,0
1395,1,1,1
1401,0,1,1
1430,1,1,1
1439,0,1,1
1440,0,0,0
1454,0,0,0
1474,0,1,1
1475,0,0,0
1501,0,0,0
1506,1,1,1
1529,0,0,0
1548,0,0,0
1560,0,0,0
1602,0,0,0
1684,0,0,0
1691,0,0,0
