model_name,question_id,difficulty,result,efficiency_score,repetition_number
Qwen-3-235B,82,simple,correct,1.0452243757639252,1
Qwen-3-235B,82,simple,correct,1.1209661619412803,2
Qwen-3-235B,82,simple,correct,1.0074407312196516,3
Qwen-3-235B,82,simple,correct,1.2738791286996078,4
Qwen-3-235B,82,simple,correct,1.1066468182278042,5
Qwen-3-235B,82,simple,correct,1.0227505636400902,6
Qwen-3-235B,82,simple,correct,1.053962242331377,7
Qwen-3-235B,82,simple,correct,1.0838898102352612,8
Qwen-3-235B,82,simple,correct,1.1756412287397209,9
Qwen-3-235B,82,simple,correct,1.0214281543761312,10
Qwen-3-235B,82,simple,correct,1.0180809039036063,11
Qwen-3-235B,82,simple,correct,1.0900402274934111,12
Qwen-3-235B,82,simple,correct,1.2112448073341928,13
Qwen-3-235B,82,simple,correct,1.179095774900577,14
Qwen-3-235B,82,simple,correct,1.1293113683585634,15
Qwen-3-235B,82,simple,correct,1.2290508605570583,16
Qwen-3-235B,82,simple,correct,1.1268844412603083,17
Qwen-3-235B,82,simple,correct,1.1320652844625447,18
Qwen-3-235B,82,simple,correct,0.9762388160013442,19
Qwen-3-235B,82,simple,correct,1.005360026730523,20
Qwen-3-235B,82,simple,correct,1.3635635988712829,21
Qwen-3-235B,82,simple,correct,1.0107862657747346,22
Qwen-3-235B,82,simple,correct,1.2707732433261736,23
Qwen-3-235B,82,simple,correct,1.240864255519023,24
Qwen-3-235B,82,simple,correct,1.254246673750692,25
Qwen-3-235B,82,simple,correct,0.8108027038897876,26
Qwen-3-235B,82,simple,correct,1.1607478904874644,27
Qwen-3-235B,82,simple,correct,1.2469980452387601,28
Qwen-3-235B,82,simple,correct,0.9092565351759133,29
Qwen-3-235B,82,simple,correct,1.3333437744714174,30
Qwen-3-235B,82,simple,correct,1.1345266942859376,31
Qwen-3-235B,82,simple,correct,1.0912639007698888,32
Qwen-3-235B,82,simple,correct,1.1962526002520537,33
Qwen-3-235B,82,simple,correct,1.0120670183635267,34
Qwen-3-235B,82,simple,correct,1.2080905241727278,35
Qwen-3-235B,82,simple,correct,1.1373793350017876,36
Qwen-3-235B,82,simple,correct,1.1902906890954699,37
Qwen-3-235B,82,simple,correct,1.032122485740018,38
Qwen-3-235B,82,simple,correct,1.2736900866814496,39
Qwen-3-235B,82,simple,correct,1.1378066488345433,40
Qwen-3-235B,82,simple,correct,1.0603866606719277,41
Qwen-3-235B,82,simple,correct,1.1541811045352794,42
Qwen-3-235B,82,simple,correct,1.3120306079070427,43
Qwen-3-235B,82,simple,correct,1.1275931035489568,44
Qwen-3-235B,82,simple,correct,1.0415565160225477,45
Qwen-3-235B,82,simple,correct,1.0265273759180948,46
Qwen-3-235B,82,simple,correct,1.2232587992954593,47
Qwen-3-235B,82,simple,correct,1.5410209867838767,48
Qwen-3-235B,82,simple,correct,1.0532937702724323,49
Qwen-3-235B,82,simple,correct,1.1240873625168426,50
Qwen-3-235B,831,simple,correct,1.5171126322339763,1
Qwen-3-235B,831,simple,correct,1.3772492567673291,2
Qwen-3-235B,831,simple,correct,1.4156378600823045,3
Qwen-3-235B,831,simple,correct,1.794889502762431,4
Qwen-3-235B,831,simple,correct,1.5102527420123986,5
Qwen-3-235B,831,simple,correct,1.371726417493008,6
Qwen-3-235B,831,simple,correct,1.5085574572127138,7
Qwen-3-235B,831,simple,correct,1.6436241610738256,8
Qwen-3-235B,831,simple,correct,1.3939000648929267,9
Qwen-3-235B,831,simple,correct,1.5328846742122972,10
Qwen-3-235B,831,simple,correct,1.3098106712564543,11
Qwen-3-235B,831,simple,correct,1.5891005091457666,12
Qwen-3-235B,831,simple,correct,1.5013570566948131,13
Qwen-3-235B,831,simple,correct,1.3410336726703211,14
Qwen-3-235B,831,simple,correct,1.6307745745050364,15
Qwen-3-235B,831,simple,correct,1.5023980815347722,16
Qwen-3-235B,831,simple,correct,1.2856794340082947,17
Qwen-3-235B,831,simple,correct,1.5486453201970443,18
Qwen-3-235B,831,simple,correct,1.4238252020353188,19
Qwen-3-235B,831,simple,correct,1.517721099701888,20
Qwen-3-235B,831,simple,correct,2.7615803814713895,21
Qwen-3-235B,831,simple,correct,2.314207650273224,22
Qwen-3-235B,831,simple,correct,1.4916035561409287,23
Qwen-3-235B,831,simple,correct,1.4991304347826087,24
Qwen-3-235B,831,simple,correct,1.3042662453091052,25
Qwen-3-235B,831,simple,correct,1.731554441260745,26
Qwen-3-235B,831,simple,correct,1.4989858012170385,27
Qwen-3-235B,831,simple,correct,1.4888341543513957,28
Qwen-3-235B,831,simple,correct,1.4530950861518825,29
Qwen-3-235B,831,simple,correct,1.6560202205882353,30
Qwen-3-235B,831,simple,correct,0.8102571553101845,31
Qwen-3-235B,831,simple,correct,1.4431360396653239,32
Qwen-3-235B,831,simple,correct,2.4756980351602897,33
Qwen-3-235B,831,simple,correct,1.8582531458179126,34
Qwen-3-235B,831,simple,correct,2.4871355060034306,35
Qwen-3-235B,831,simple,correct,1.1613941018766756,36
Qwen-3-235B,831,simple,correct,1.515406162464986,37
Qwen-3-235B,831,simple,correct,1.3509837962962963,38
Qwen-3-235B,831,simple,correct,1.3281799016163036,39
Qwen-3-235B,831,simple,correct,1.4790152751001038,40
Qwen-3-235B,831,simple,correct,1.4062833612932744,41
Qwen-3-235B,831,simple,correct,1.065231861548702,42
Qwen-3-235B,831,simple,correct,1.5059508066649034,43
Qwen-3-235B,831,simple,correct,1.7153102588088556,44
Qwen-3-235B,831,simple,correct,1.3667682926829268,45
Qwen-3-235B,831,simple,correct,1.6957689724647413,46
Qwen-3-235B,831,simple,correct,1.5207870517296096,47
Qwen-3-235B,831,simple,correct,1.529079428381522,48
Qwen-3-235B,831,simple,correct,1.5901484798491634,49
Qwen-3-235B,831,simple,correct,1.5804785677397142,50
Qwen-3-235B,554,simple,correct,2.51831157343328,1
Qwen-3-235B,554,simple,correct,1.1065954838050476,2
Qwen-3-235B,554,simple,correct,1.0510996019609953,3
Qwen-3-235B,554,simple,correct,0.9969988395177524,4
Qwen-3-235B,554,simple,correct,0.9792441955421656,5
Qwen-3-235B,554,simple,correct,0.9639366652160815,6
Qwen-3-235B,554,simple,correct,1.0042619175720817,7
Qwen-3-235B,554,simple,correct,1.0707118010946535,8
Qwen-3-235B,554,simple,correct,0.8954867525368828,9
Qwen-3-235B,554,simple,correct,0.9550406515211758,10
Qwen-3-235B,554,simple,correct,0.9802637205433017,11
Qwen-3-235B,554,simple,correct,0.9288752610786026,12
Qwen-3-235B,554,simple,correct,1.0619724608714987,13
Qwen-3-235B,554,simple,correct,1.0360827947100502,14
Qwen-3-235B,554,simple,correct,0.9836199802331496,15
Qwen-3-235B,554,simple,correct,0.9821598965410705,16
Qwen-3-235B,554,simple,correct,1.0272805034097163,17
Qwen-3-235B,554,simple,correct,0.9760884497480278,18
Qwen-3-235B,554,simple,correct,1.0322062741595184,19
Qwen-3-235B,554,simple,correct,1.0376467064798824,20
Qwen-3-235B,554,simple,correct,0.9810884743250629,21
Qwen-3-235B,554,simple,correct,0.9937412967722716,22
Qwen-3-235B,554,simple,correct,0.9987502937639106,23
Qwen-3-235B,554,simple,correct,0.9190889664587126,24
Qwen-3-235B,554,simple,correct,0.9765437271672153,25
Qwen-3-235B,554,simple,correct,1.067641465621724,26
Qwen-3-235B,554,simple,correct,0.9716808653892848,27
Qwen-3-235B,554,simple,correct,1.0020606135749826,28
Qwen-3-235B,554,simple,correct,0.9576175693965894,29
Qwen-3-235B,554,simple,correct,0.9287476804751978,30
Qwen-3-235B,554,simple,correct,0.9840008684691423,31
Qwen-3-235B,554,simple,correct,0.9178547173986585,32
Qwen-3-235B,554,simple,correct,0.9223184345779375,33
Qwen-3-235B,554,simple,correct,0.984208034995321,34
Qwen-3-235B,554,simple,correct,0.7418115325537115,35
Qwen-3-235B,554,simple,correct,1.068835151887002,36
Qwen-3-235B,554,simple,correct,0.9847076138547304,37
Qwen-3-235B,554,simple,correct,1.096589178598244,38
Qwen-3-235B,554,simple,correct,0.9487245644079464,39
Qwen-3-235B,554,simple,correct,1.2744345935899968,40
Qwen-3-235B,554,simple,correct,0.8510154843137433,41
Qwen-3-235B,554,simple,correct,1.095943423053622,42
Qwen-3-235B,554,simple,correct,0.9005327044886253,43
Qwen-3-235B,554,simple,correct,0.9314544058406321,44
Qwen-3-235B,554,simple,correct,0.9746745219454066,45
Qwen-3-235B,554,simple,correct,0.7959787810273096,46
Qwen-3-235B,554,simple,correct,1.5070550067849615,47
Qwen-3-235B,554,simple,correct,1.0039517186908604,48
Qwen-3-235B,554,simple,correct,1.119889743884231,49
Qwen-3-235B,554,simple,correct,1.2371360602051826,50
Qwen-3-235B,542,simple,correct,1.2681481067010871,1
Qwen-3-235B,542,simple,correct,0.9583218941509363,2
Qwen-3-235B,542,simple,correct,1.026346626359988,3
Qwen-3-235B,542,simple,correct,0.8134252757202233,4
Qwen-3-235B,542,simple,correct,0.9191540162534452,5
Qwen-3-235B,542,simple,correct,0.8897279275140894,6
Qwen-3-235B,542,simple,correct,1.060440687545635,7
Qwen-3-235B,542,simple,correct,1.182079623477701,8
Qwen-3-235B,542,simple,correct,1.110038487940052,9
Qwen-3-235B,542,simple,correct,0.9451349943158541,10
Qwen-3-235B,542,simple,correct,1.118799560452615,11
Qwen-3-235B,542,simple,correct,1.053274593715185,12
Qwen-3-235B,542,simple,correct,1.1653442766471898,13
Qwen-3-235B,542,simple,correct,1.1808891287568615,14
Qwen-3-235B,542,simple,correct,1.1861595188113858,15
Qwen-3-235B,542,simple,correct,0.9376048740200834,16
Qwen-3-235B,542,simple,correct,0.7624880215656598,17
Qwen-3-235B,542,simple,correct,0.8911798845796955,18
Qwen-3-235B,542,simple,correct,1.0803419878041114,19
Qwen-3-235B,542,simple,correct,0.9203654933856484,20
Qwen-3-235B,542,simple,correct,1.133431765749778,21
Qwen-3-235B,542,simple,correct,1.0580681925726356,22
Qwen-3-235B,542,simple,correct,1.0346774703839743,23
Qwen-3-235B,542,simple,correct,0.9987315564874109,24
Qwen-3-235B,542,simple,correct,1.1197917675107234,25
Qwen-3-235B,542,simple,correct,1.014509145181289,26
Qwen-3-235B,542,simple,correct,1.1625149481023778,27
Qwen-3-235B,542,simple,correct,0.9008606936207026,28
Qwen-3-235B,542,simple,correct,1.123186906974074,29
Qwen-3-235B,542,simple,correct,0.8690420322150076,30
Qwen-3-235B,542,simple,correct,1.0976612571649695,31
Qwen-3-235B,542,simple,correct,1.0275873365950974,32
Qwen-3-235B,542,simple,correct,0.9403017035584766,33
Qwen-3-235B,542,simple,correct,0.8837300798197054,34
Qwen-3-235B,542,simple,correct,0.8518612934085642,35
Qwen-3-235B,542,simple,correct,1.2067370812326885,36
Qwen-3-235B,542,simple,correct,0.9319267238000221,37
Qwen-3-235B,542,simple,correct,1.0497999315101552,38
Qwen-3-235B,542,simple,correct,1.19972582506676,39
Qwen-3-235B,542,simple,correct,1.1123379163839935,40
Qwen-3-235B,542,simple,correct,1.096334010265155,41
Qwen-3-235B,542,simple,correct,0.9975570434432599,42
Qwen-3-235B,542,simple,correct,0.9397711858659161,43
Qwen-3-235B,542,simple,correct,1.005955008684299,44
Qwen-3-235B,542,simple,correct,1.0230010831659933,45
Qwen-3-235B,542,simple,correct,0.950071237828683,46
Qwen-3-235B,542,simple,correct,0.9321029682148139,47
Qwen-3-235B,542,simple,correct,1.1464742967369788,48
Qwen-3-235B,542,simple,correct,1.0872245228613926,49
Qwen-3-235B,542,simple,correct,1.0423590058651064,50
Qwen-3-235B,695,simple,correct,6.051275040557044,1
Qwen-3-235B,695,simple,correct,1.2234871962159517,2
Qwen-3-235B,695,simple,correct,1.5168331417073873,3
Qwen-3-235B,695,simple,correct,1.0899257802502729,4
Qwen-3-235B,695,simple,correct,0.8226499676495055,5
Qwen-3-235B,695,simple,correct,1.0736116556947397,6
Qwen-3-235B,695,simple,correct,1.3693414048344734,7
Qwen-3-235B,695,simple,correct,1.3914836167262643,8
Qwen-3-235B,695,simple,correct,0.9365454151410418,9
Qwen-3-235B,695,simple,correct,1.3866919364856902,10
Qwen-3-235B,695,simple,correct,1.3628559149027613,11
Qwen-3-235B,695,simple,correct,1.0479127966071993,12
Qwen-3-235B,695,simple,correct,1.1805654638981715,13
Qwen-3-235B,695,simple,correct,0.9907485631188976,14
Qwen-3-235B,695,simple,correct,1.1176811221207053,15
Qwen-3-235B,695,simple,correct,1.4359052017869312,16
Qwen-3-235B,695,simple,correct,1.028845821674094,17
Qwen-3-235B,695,simple,correct,1.0886505681818182,18
