task_id,Qwen3_3B_Accuracy,difficulty,Qwen3_22B_Accuracy,Qwen3_35B_Accuracy
28,0,challenging,0,0
62,1,challenging,0,1
87,0,challenging,0,0
94,0,challenging,0,0
125,0,challenging,0,0
149,0,challenging,0,0
169,0,challenging,0,0
173,0,challenging,0,0
198,0,challenging,0,0
206,1,challenging,1,1
212,1,challenging,1,1
231,0,challenging,1,0
247,0,challenging,0,0
249,0,challenging,0,0
253,0,challenging,1,0
263,0,challenging,0,0
268,1,challenging,0,0
277,1,challenging,0,0
285,1,challenging,0,0
290,0,challenging,0,0
302,1,challenging,1,1
306,0,challenging,0,0
307,1,challenging,1,0
319,1,challenging,0,1
322,1,challenging,1,1
328,0,challenging,0,0
334,1,challenging,1,1
337,0,challenging,1,0
371,1,challenging,1,1
416,1,challenging,0,0
431,0,challenging,0,0
477,0,challenging,0,0
506,1,challenging,1,1
513,1,challenging,1,1
521,0,challenging,0,0
523,0,challenging,0,0
634,0,challenging,1,0
639,0,challenging,0,0
701,1,challenging,1,1
730,1,challenging,1,1
743,0,challenging,0,0
744,0,challenging,1,0
772,0,challenging,0,0
773,1,challenging,1,1
775,1,challenging,1,1
818,1,challenging,1,1
819,1,challenging,1,1
829,0,challenging,1,0
834,1,challenging,1,1
835,1,challenging,1,1
896,0,challenging,0,0
962,1,challenging,0,0
994,0,challenging,0,0
1001,1,challenging,0,0
1028,0,challenging,0,0
1036,1,challenging,0,0
1037,1,challenging,1,0
1041,0,challenging,0,0
1071,0,challenging,0,0
1076,1,challenging,1,0
1114,1,challenging,1,1
1115,0,challenging,0,0
1161,0,challenging,1,1
1168,0,challenging,0,0
1169,1,challenging,1,1
1171,0,challenging,1,0
1183,1,challenging,1,1
1190,1,challenging,1,0
1191,1,challenging,1,1
1192,1,challenging,1,1
1194,1,challenging,1,1
1202,0,challenging,0,1
1223,0,challenging,0,0
1231,1,challenging,1,1
1232,0,challenging,1,0
1236,0,challenging,1,1
1239,0,challenging,1,0
1241,0,challenging,0,0
1242,0,challenging,0,0
1243,0,challenging,0,0
1247,0,challenging,0,0
1257,0,challenging,0,1
1270,0,challenging,0,1
1292,0,challenging,0,0
1295,1,challenging,1,0
1302,0,challenging,0,0
1307,1,challenging,1,1
1339,1,challenging,1,1
1359,1,challenging,0,1
1429,1,challenging,1,1
1437,0,challenging,0,0
1448,0,challenging,1,0
1457,0,challenging,1,1
1460,1,challenging,1,1
1476,1,challenging,1,1
1481,0,challenging,0,0
1549,0,challenging,0,0
1552,0,challenging,0,0
1686,0,challenging,0,0
1694,1,challenging,1,1
