model_name,question_id,difficulty,result,efficiency_score,repetition_number
Qwen-3-Coder-30B,82,simple,semantic,,1
Qwen-3-Coder-30B,82,simple,semantic,,2
Qwen-3-Coder-30B,82,simple,semantic,,3
Qwen-3-Coder-30B,82,simple,semantic,,4
Qwen-3-Coder-30B,82,simple,semantic,,5
Qwen-3-Coder-30B,82,simple,semantic,,6
Qwen-3-Coder-30B,82,simple,semantic,,7
Qwen-3-Coder-30B,82,simple,semantic,,8
Qwen-3-Coder-30B,82,simple,semantic,,9
Qwen-3-Coder-30B,82,simple,semantic,,10
Qwen-3-Coder-30B,82,simple,semantic,,11
Qwen-3-Coder-30B,82,simple,semantic,,12
Qwen-3-Coder-30B,82,simple,semantic,,13
Qwen-3-Coder-30B,82,simple,semantic,,14
Qwen-3-Coder-30B,82,simple,semantic,,15
Qwen-3-Coder-30B,82,simple,semantic,,16
Qwen-3-Coder-30B,82,simple,semantic,,17
Qwen-3-Coder-30B,82,simple,semantic,,18
Qwen-3-Coder-30B,82,simple,semantic,,19
Qwen-3-Coder-30B,82,simple,semantic,,20
Qwen-3-Coder-30B,82,simple,semantic,,21
Qwen-3-Coder-30B,82,simple,semantic,,22
Qwen-3-Coder-30B,82,simple,semantic,,23
Qwen-3-Coder-30B,82,simple,semantic,,24
Qwen-3-Coder-30B,82,simple,semantic,,25
Qwen-3-Coder-30B,82,simple,semantic,,26
Qwen-3-Coder-30B,82,simple,semantic,,27
Qwen-3-Coder-30B,82,simple,semantic,,28
Qwen-3-Coder-30B,82,simple,semantic,,29
Qwen-3-Coder-30B,82,simple,semantic,,30
Qwen-3-Coder-30B,82,simple,semantic,,31
Qwen-3-Coder-30B,82,simple,semantic,,32
Qwen-3-Coder-30B,82,simple,semantic,,33
Qwen-3-Coder-30B,82,simple,semantic,,34
Qwen-3-Coder-30B,82,simple,semantic,,35
Qwen-3-Coder-30B,82,simple,semantic,,36
Qwen-3-Coder-30B,82,simple,semantic,,37
Qwen-3-Coder-30B,82,simple,semantic,,38
Qwen-3-Coder-30B,82,simple,semantic,,39
Qwen-3-Coder-30B,82,simple,semantic,,40
Qwen-3-Coder-30B,82,simple,semantic,,41
Qwen-3-Coder-30B,82,simple,semantic,,42
Qwen-3-Coder-30B,82,simple,semantic,,43
Qwen-3-Coder-30B,82,simple,semantic,,44
Qwen-3-Coder-30B,82,simple,semantic,,45
Qwen-3-Coder-30B,82,simple,semantic,,46
Qwen-3-Coder-30B,82,simple,semantic,,47
Qwen-3-Coder-30B,82,simple,semantic,,48
Qwen-3-Coder-30B,82,simple,semantic,,49
Qwen-3-Coder-30B,82,simple,semantic,,50
Qwen-3-Coder-30B,831,simple,correct,6.406750324534833,1
Qwen-3-Coder-30B,831,simple,correct,1.3799917661589132,2
Qwen-3-Coder-30B,831,simple,correct,1.3553829078801332,3
Qwen-3-Coder-30B,831,simple,correct,1.577116935483871,4
Qwen-3-Coder-30B,831,simple,correct,1.4979388153612496,5
Qwen-3-Coder-30B,831,simple,correct,1.3464547677261614,6
Qwen-3-Coder-30B,831,simple,correct,1.4820445031945362,7
Qwen-3-Coder-30B,831,simple,correct,1.6012734990903579,8
Qwen-3-Coder-30B,831,simple,correct,1.401023890784983,9
