task_id,Qwen3_3B_Accuracy,difficulty,Qwen3_22B_Accuracy,Qwen3_35B_Accuracy
10,0,simple,1,0
13,1,simple,1,1
54,0,simple,0,0
61,1,simple,1,1
69,1,simple,1,1
82,0,simple,1,1
84,0,simple,0,0
86,0,simple,0,0
88,0,simple,1,1
103,1,simple,1,1
132,1,simple,1,1
143,1,simple,1,1
161,1,simple,1,1
181,1,simple,1,1
190,1,simple,0,0
200,0,simple,0,0
202,1,simple,1,1
223,0,simple,0,0
225,0,simple,0,0
299,0,simple,0,0
301,1,simple,1,1
311,0,simple,0,0
312,1,simple,1,0
313,1,simple,1,1
318,1,simple,1,1
323,0,simple,1,0
369,1,simple,1,1
389,0,simple,0,0
393,0,simple,0,0
396,1,simple,1,1
400,1,simple,1,0
422,1,simple,1,0
428,0,simple,0,0
430,0,simple,0,0
442,0,simple,0,0
464,0,simple,0,0
476,0,simple,1,1
496,0,simple,0,0
502,0,simple,0,0
540,1,simple,1,1
542,1,simple,1,1
546,0,simple,0,0
549,1,simple,1,1
554,1,simple,1,1
564,0,simple,1,1
577,1,simple,1,1
580,1,simple,0,1
599,0,simple,0,0
614,0,simple,0,0
679,0,simple,0,0
695,1,simple,1,1
697,1,simple,0,1
713,1,simple,1,1
722,1,simple,1,1
725,1,simple,1,1
742,1,simple,1,1
748,1,simple,1,1
756,1,simple,0,1
799,1,simple,1,1
809,1,simple,1,1
831,1,simple,1,1
841,1,simple,1,1
844,1,simple,1,1
858,1,simple,1,1
873,1,simple,1,1
878,1,simple,1,0
900,1,simple,1,1
902,0,simple,0,0
929,0,simple,0,1
950,0,simple,0,0
953,0,simple,0,1
998,0,simple,0,0
1004,0,simple,0,0
1045,0,simple,0,0
1129,1,simple,0,0
1131,0,simple,0,0
1133,1,simple,1,0
1134,1,simple,1,1
1145,1,simple,1,1
1153,1,simple,0,1
1157,1,simple,0,1
1197,0,simple,0,0
1221,0,simple,0,0
1313,1,simple,1,1
1314,0,simple,0,0
1361,1,simple,1,1
1363,0,simple,0,0
1410,1,simple,1,1
1505,0,simple,0,0
1508,1,simple,1,1
1512,1,simple,0,1
1517,0,simple,0,0
1522,0,simple,0,0
1536,0,simple,0,0
1575,0,simple,0,0
1585,0,simple,0,0
1619,0,simple,0,0
1665,0,simple,0,0
1673,0,simple,0,0
1713,0,simple,0,0
