question_id,difficulty_numeric,dominant_category,consistency
54,1,semantic,1.0
84,1,semantic,1.0
86,1,semantic,1.0
190,1,semantic,0.8
200,1,semantic,1.0
223,1,semantic,1.0
225,1,semantic,1.0
311,1,semantic,1.0
389,1,semantic,1.0
393,1,semantic,1.0
428,1,semantic,1.0
430,1,semantic,1.0
442,1,semantic,1.0
464,1,semantic,1.0
496,1,semantic,1.0
502,1,semantic,1.0
546,1,semantic,1.0
580,1,semantic,1.0
599,1,semantic,1.0
614,1,semantic,1.0
679,1,semantic,1.0
697,1,semantic,0.98
756,1,semantic,1.0
902,1,semantic,1.0
929,1,semantic,1.0
950,1,semantic,1.0
953,1,semantic,0.84
998,1,semantic,1.0
1004,1,semantic,1.0
1045,1,semantic,1.0
1129,1,semantic,1.0
1131,1,semantic,0.84
1153,1,semantic,1.0
1157,1,semantic,0.7
1197,1,semantic,1.0
1221,1,semantic,0.98
1314,1,semantic,0.56
1363,1,semantic,1.0
1505,1,semantic,1.0
1512,1,semantic,0.66
1517,1,semantic,1.0
1522,1,semantic,1.0
1536,1,semantic,0.7
1575,1,semantic,0.96
1585,1,semantic,1.0
1619,1,semantic,0.96
1665,1,semantic,1.0
1673,1,semantic,1.0
1713,1,semantic,1.0
31,2,semantic,0.94
40,2,semantic,0.54
93,2,semantic,1.0
135,2,semantic,1.0
185,2,semantic,0.92
188,2,semantic,1.0
270,2,semantic,1.0
298,2,semantic,0.94
360,2,semantic,1.0
397,2,semantic,1.0
402,2,semantic,1.0
407,2,semantic,1.0
408,2,semantic,1.0
446,2,semantic,1.0
466,2,semantic,1.0
508,2,semantic,1.0
511,2,semantic,1.0
522,2,semantic,1.0
637,2,semantic,1.0
683,2,semantic,1.0
732,2,semantic,0.36
766,2,semantic,1.0
814,2,semantic,1.0
894,2,semantic,1.0
958,2,semantic,1.0
970,2,semantic,1.0
1093,2,semantic,1.0
1121,2,semantic,1.0
1127,2,semantic,0.96
1152,2,semantic,1.0
1158,2,semantic,0.96
1167,2,semantic,1.0
1170,2,semantic,1.0
1225,2,semantic,1.0
1264,2,semantic,1.0
1274,2,semantic,1.0
1291,2,semantic,1.0
1388,2,semantic,1.0
1440,2,semantic,1.0
1454,2,semantic,1.0
1475,2,semantic,1.0
1501,2,semantic,1.0
1529,2,semantic,0.98
1548,2,semantic,1.0
1560,2,semantic,0.84
1602,2,semantic,1.0
1684,2,semantic,1.0
1691,2,semantic,1.0
28,3,hallucination,1.0
62,3,semantic,1.0
87,3,semantic,1.0
94,3,semantic,0.8
125,3,semantic,1.0
149,3,semantic,1.0
169,3,semantic,1.0
173,3,semantic,1.0
198,3,semantic,1.0
247,3,semantic,1.0
249,3,semantic,1.0
263,3,semantic,1.0
268,3,semantic,1.0
277,3,semantic,0.96
285,3,semantic,0.9
290,3,semantic,0.94
306,3,semantic,1.0
319,3,semantic,1.0
328,3,semantic,1.0
416,3,semantic,1.0
431,3,semantic,1.0
477,3,semantic,1.0
521,3,semantic,1.0
523,3,semantic,0.84
639,3,semantic,1.0
743,3,semantic,1.0
772,3,semantic,1.0
896,3,hallucination,0.94
962,3,semantic,1.0
994,3,semantic,1.0
1001,3,semantic,0.58
1028,3,semantic,1.0
1036,3,semantic,1.0
1037,3,semantic,0.34
1041,3,semantic,1.0
1071,3,semantic,1.0
1115,3,semantic,0.9
1168,3,semantic,1.0
1202,3,semantic,0.98
1223,3,semantic,1.0
1241,3,semantic,1.0
1242,3,semantic,1.0
1243,3,semantic,1.0
1247,3,semantic,1.0
1257,3,semantic,1.0
1270,3,hallucination,0.7
1292,3,semantic,0.72
1302,3,semantic,0.52
1359,3,semantic,1.0
1437,3,semantic,1.0
1481,3,semantic,1.0
1549,3,semantic,1.0
1552,3,semantic,1.0
1686,3,semantic,1.0
