task_id,Qwen3_3B_Accuracy,difficulty,Qwen3_22B_Accuracy,Qwen3_35B_Accuracy
31,0,moderate,0,1
35,1,moderate,1,1
40,0,moderate,0,0
68,1,moderate,1,1
81,0,moderate,1,0
93,0,moderate,0,0
100,1,moderate,1,0
135,0,moderate,0,0
152,1,moderate,1,0
175,1,moderate,1,1
185,0,moderate,0,0
188,1,moderate,0,1
213,1,moderate,1,1
222,1,moderate,1,1
236,1,moderate,1,1
255,1,moderate,1,0
270,1,moderate,0,0
272,1,moderate,1,1
298,0,moderate,0,0
327,1,moderate,1,1
360,0,moderate,0,0
391,0,moderate,1,1
397,1,moderate,0,1
402,0,moderate,0,0
407,0,moderate,0,0
408,0,moderate,0,0
427,1,moderate,1,1
446,0,moderate,0,0
450,1,moderate,1,1
459,1,moderate,1,0
466,0,moderate,0,0
508,1,moderate,0,1
511,0,moderate,0,0
522,0,moderate,0,0
615,1,moderate,1,1
637,0,moderate,0,0
657,1,moderate,1,1
683,0,moderate,0,0
723,1,moderate,1,1
732,0,moderate,0,0
753,1,moderate,1,1
761,1,moderate,1,1
766,0,moderate,0,0
814,0,moderate,0,1
822,1,moderate,1,1
894,0,moderate,0,0
899,1,moderate,1,1
906,1,moderate,1,1
943,0,moderate,1,0
958,0,moderate,0,0
970,0,moderate,0,0
1047,1,moderate,1,1
1093,0,moderate,0,0
1095,1,moderate,1,1
1098,1,moderate,1,1
1101,1,moderate,1,1
1103,1,moderate,1,1
1104,1,moderate,1,1
1106,1,moderate,1,1
1112,1,moderate,1,1
1121,0,moderate,0,0
1125,1,moderate,1,1
1127,0,moderate,0,0
1146,0,moderate,1,1
1152,0,moderate,0,0
1158,0,moderate,0,0
1162,1,moderate,1,1
1164,1,moderate,1,1
1167,1,moderate,0,0
1170,0,moderate,0,0
1182,0,moderate,1,1
1200,0,moderate,1,0
1225,0,moderate,0,0
1229,1,moderate,1,1
1240,1,moderate,1,1
1252,0,moderate,1,0
1264,0,moderate,0,1
1274,0,moderate,0,0
1289,1,moderate,1,0
1291,1,moderate,0,0
1316,0,moderate,1,1
1327,0,moderate,1,1
1375,1,moderate,1,1
1388,0,moderate,0,0
1395,1,moderate,1,1
1401,0,moderate,1,1
1430,1,moderate,1,1
1439,0,moderate,1,1
1440,0,moderate,0,0
1454,0,moderate,0,0
1474,0,moderate,1,1
1475,0,moderate,0,0
1501,0,moderate,0,0
1506,1,moderate,1,1
1529,0,moderate,0,0
1548,0,moderate,0,0
1560,0,moderate,0,0
1602,0,moderate,0,0
1684,0,moderate,0,0
1691,0,moderate,0,0
