question_id,Qwen-3-Coder-30B,Qwen-3-235B,Qwen-3-Coder-480B
10,0,1,0
13,1,1,1
54,0,0,0
61,1,1,1
69,1,1,1
82,0,1,1
84,0,0,0
86,0,0,0
88,0,1,1
103,1,1,1
132,1,1,1
143,1,1,1
161,1,1,1
181,1,1,1
190,1,0,0
200,0,0,0
202,1,1,1
223,0,0,0
225,0,0,0
299,0,1,0
301,1,1,1
311,0,0,0
312,1,1,0
313,1,1,1
318,1,1,1
323,0,1,0
369,1,1,1
389,0,0,0
393,0,0,0
396,1,1,1
400,1,1,0
422,1,1,0
428,0,0,0
430,0,0,0
442,0,0,0
464,0,0,0
476,0,1,1
496,0,0,0
502,0,0,0
540,1,1,1
542,1,1,1
546,0,0,0
549,1,1,1
554,1,1,1
564,0,1,1
577,1,1,1
580,1,0,1
599,0,0,0
614,0,0,0
679,0,0,0
695,1,1,1
697,1,0,1
713,1,1,1
722,1,1,1
725,1,1,1
742,1,1,1
748,1,1,1
756,1,0,1
799,1,1,1
809,1,1,1
831,1,1,1
841,1,1,1
844,1,1,1
858,1,1,1
873,1,1,1
878,1,1,0
900,1,1,1
902,0,0,0
929,0,0,1
950,0,0,0
953,0,0,1
998,0,0,0
1004,0,0,0
1045,0,0,0
1129,1,0,0
1131,0,0,0
1133,1,1,0
1134,1,1,1
1145,1,1,1
1153,1,0,1
1157,1,0,1
1197,0,0,0
1221,0,0,0
1313,1,1,1
1314,0,0,0
1361,1,1,1
1363,0,0,0
1410,1,1,1
1505,0,0,0
1508,1,1,1
1512,1,0,1
1517,0,0,0
1522,0,0,0
1536,0,0,0
1575,0,0,0
1585,0,0,0
1619,0,0,0
1665,0,0,0
1673,0,0,0
1713,0,0,0
