question_id,Qwen-3-Coder-30B,Qwen-3-235B,Qwen-3-Coder-480B
28,0,0,0
62,1,0,1
87,0,0,0
94,0,0,0
125,0,0,0
149,0,0,0
169,0,0,0
173,0,0,0
198,0,0,0
206,1,1,1
212,1,1,1
231,0,1,0
247,0,0,0
249,0,0,0
253,0,1,0
263,0,0,0
268,1,0,0
277,1,1,0
285,1,1,0
290,0,1,0
302,1,1,1
306,0,0,0
307,1,1,0
319,1,0,1
322,1,1,1
328,0,0,0
334,1,1,1
337,0,1,0
371,1,1,1
416,1,0,0
431,0,0,0
477,0,0,0
506,1,1,1
513,1,1,1
521,0,0,0
523,0,0,0
634,0,1,0
639,0,0,0
701,1,1,1
730,1,1,1
743,0,0,0
744,0,1,0
772,0,0,0
773,1,1,1
775,1,1,1
818,1,1,1
819,1,1,1
829,0,1,1
834,1,1,1
835,1,1,1
896,0,0,0
962,1,0,0
994,0,0,0
1001,1,1,0
1028,0,0,0
1036,1,0,0
1037,1,1,0
1041,0,0,0
1071,0,0,0
1076,1,1,0
1114,1,1,1
1115,0,1,0
1161,0,1,1
1168,0,0,0
1169,1,1,1
1171,0,1,0
1183,1,1,1
1190,1,1,1
1191,1,1,1
1192,1,1,1
1194,1,1,1
1202,0,1,1
1223,0,0,0
1231,1,1,1
1232,1,1,0
1236,0,1,1
1239,0,1,0
1241,0,0,0
1242,0,0,0
1243,0,0,0
1247,0,0,0
1257,0,0,1
1270,0,1,1
1292,0,1,0
1295,1,1,0
1302,0,1,0
1307,1,1,1
1339,1,1,1
1359,1,0,1
1429,1,1,1
1437,0,0,0
1448,0,1,0
1457,1,1,1
1460,1,1,1
1476,1,1,1
1481,0,0,0
1549,0,0,0
1552,0,0,0
1686,0,0,0
1694,1,1,1
